job_link,extracted_email,status,original_text
https://in.linkedin.com/jobs/view/associate-at-pwc-india-4291066596,,SKIPPED_NO_EMAIL,Not Mentioned
https://in.linkedin.com/jobs/view/data-analyst-on-site-in-dubai-at-puffy-4432196605,,SKIPPED_NO_EMAIL,"SQL, Python, R, Tableau, Statistics, ETL, Reporting, Data Visualization"
https://in.linkedin.com/jobs/view/others-at-auriga-it-4333163807,,SKIPPED_NO_EMAIL,Not Mentioned
https://in.linkedin.com/jobs/view/measurement-report-analyst-at-accenture-in-india-4416447724,,SKIPPED_NO_EMAIL,"Excel, Power BI, VBA, Reporting"
https://in.linkedin.com/jobs/view/data-engineer-at-accenture-in-india-4287154113,,SKIPPED_NO_EMAIL,"SQL, ETL"
https://in.linkedin.com/jobs/view/associate-e-commerce-data-excellence-at-bill-gosling-outsourcing-4414755575,,SKIPPED_NO_EMAIL,Not Mentioned
https://in.linkedin.com/jobs/view/associate-e-commerce-data-excellence-at-bill-gosling-outsourcing-4414750829,,SKIPPED_NO_EMAIL,Not Mentioned
https://in.linkedin.com/jobs/view/data-engineer-at-accenture-in-india-4434639149,,SKIPPED_NO_EMAIL,ETL
https://in.linkedin.com/jobs/view/measurement-and-reporting-new-associate-at-accenture-in-india-4432846715,,SKIPPED_NO_EMAIL,"Excel, Reporting"
https://in.linkedin.com/jobs/view/freelance-data-scraping-engineer-python-at-mindrift-4438177492,,SKIPPED_NO_EMAIL,"Excel, Python"
https://in.linkedin.com/jobs/view/associate-databricks-developer-at-appbay-technologies-4418771096,,SKIPPED_NO_EMAIL,"SQL, Python, ETL"
https://in.linkedin.com/jobs/view/snowflake-senior-analyst-at-spaulding-ridge-4320901783,,SKIPPED_NO_EMAIL,"SQL, Power BI, Tableau, VBA, ETL, Data Visualization"
https://in.linkedin.com/jobs/view/measurement-report-specialist-at-accenture-in-india-4337326109,,SKIPPED_NO_EMAIL,"Excel, Power BI, VBA, Reporting, Data Visualization"
https://in.linkedin.com/jobs/view/databricks-developer-at-appbay-technologies-4418767136,,SKIPPED_NO_EMAIL,"SQL, Python, Power BI, Tableau, ETL, Reporting, Data Visualization"
https://in.linkedin.com/jobs/view/technical-lead-at-nav-india-4433200646,,SKIPPED_NO_EMAIL,SQL
https://in.linkedin.com/jobs/view/senior-analyst-assistant-manager-gl-at-norsk-hydro-4420936078,,SKIPPED_NO_EMAIL,Reporting
https://in.linkedin.com/jobs/view/technical-lead-l1-at-wipro-4434252614,,SKIPPED_NO_EMAIL,Reporting
https://in.linkedin.com/jobs/view/ai-lead-at-atrium-4415907139,,SKIPPED_NO_EMAIL,"SQL, Python, Statistics"
https://in.linkedin.com/jobs/view/senior-product-analyst-at-angara-ecommerce-pvt-ltd-4435397168,,SKIPPED_NO_EMAIL,Reporting
https://in.linkedin.com/jobs/view/senior-data-analyst-at-r3-consultant-4386978200,,SKIPPED_NO_EMAIL,"SQL, Excel, Python, Statistics, Reporting, Data Visualization"
https://in.linkedin.com/jobs/view/snowflake-data-architect-at-spaulding-ridge-4287336027,,SKIPPED_NO_EMAIL,"SQL, Power BI, Tableau, VBA, ETL, Data Visualization"
https://in.linkedin.com/jobs/view/azure-data-engineer-at-epergne-solutions-4375817575,,SKIPPED_NO_EMAIL,"SQL, Python, ETL"
https://in.linkedin.com/jobs/view/technical-lead-at-jade-global-4407825402,,SKIPPED_NO_EMAIL,"SQL, ETL, Reporting, Data Visualization"
https://in.linkedin.com/jobs/view/remote-based-punjabi-speaking-online-data-analyst-at-telus-digital-ai-data-solutions-4438187605,,SKIPPED_NO_EMAIL,Not Mentioned
https://in.linkedin.com/jobs/view/junior-google-dialogflow-engineer-at-miratech-4424870726,,SKIPPED_NO_EMAIL,"SQL, Python"
https://in.linkedin.com/jobs/view/senior-data-analyst-sales-intel-at-r3-consultant-4386971508,,SKIPPED_NO_EMAIL,"SQL, Excel, Python, Statistics, Reporting, Data Visualization"
https://in.linkedin.com/jobs/view/revenue-operations-specialist-at-r3-consultant-4303514511,,SKIPPED_NO_EMAIL,"SQL, Excel, Python, ETL, Reporting, Data Visualization"
https://in.linkedin.com/jobs/view/ai-engineer-at-biz4group-llc-4173056784,,SKIPPED_NO_EMAIL,"SQL, Python"
